folio,foliohog,id_panta,panta_tipo,panta_tam,panta_dia,panta_hor,panta_min,panta_uso1,panta_uso2,panta_uso3,panta_uso4,panta_uso9,panta_anio,panta_tipo_desc,panta_tam_desc
84,1,1,3,2,3,2,0,0,0,3,0,0,8,LCD o plasma,Entre 30” y 39” (Chica)
85,1,1,3,1,7,5,0,0,0,3,0,0,4,LCD o plasma,Menor a 30” (muy chica)
86,1,1,4,1,7,1,30,0,0,0,4,0,5,Analógica,Menor a 30” (muy chica)
87,1,1,4,4,7,2,0,0,0,0,4,0,99,Analógica,Entre 50” y 60” (Grande)
88,1,1,4,2,7,2,0,0,0,3,0,0,5,Analógica,Entre 30” y 39” (Chica)
89,1,1,3,2,7,4,0,0,0,3,0,0,3,LCD o plasma,Entre 30” y 39” (Chica)
89,1,2,3,2,3,1,0,0,0,3,0,0,5,LCD o plasma,Entre 30” y 39” (Chica)
90,1,1,3,3,7,2,0,0,0,3,0,0,2,LCD o plasma,Entre 40” y 49” (Mediana)
91,1,1,3,3,7,3,0,0,2,3,0,0,6,LCD o plasma,Entre 40” y 49” (Mediana)
91,1,2,3,4,4,2,0,0,0,3,0,0,3,LCD o plasma,Entre 50” y 60” (Grande)
92,1,2,4,1,7,2,0,0,0,3,0,0,15,Analógica,Menor a 30” (muy chica)
92,1,1,3,3,7,4,0,1,0,3,0,0,4,LCD o plasma,Entre 40” y 49” (Mediana)
93,1,1,3,4,7,2,0,0,0,3,0,0,2,LCD o plasma,Entre 50” y 60” (Grande)
94,1,1,3,2,7,5,0,1,2,3,0,0,1,LCD o plasma,Entre 30” y 39” (Chica)
95,1,2,3,4,1,2,0,0,0,3,0,0,3,LCD o plasma,Entre 50” y 60” (Grande)
95,1,1,4,4,6,2,0,0,0,3,0,0,10,Analógica,Entre 50” y 60” (Grande)
96,1,4,3,4,7,1,0,0,0,3,0,0,1,LCD o plasma,Entre 50” y 60” (Grande)
96,1,3,4,4,7,6,0,1,2,3,0,0,7,Analógica,Entre 50” y 60” (Grande)
96,1,2,3,4,4,4,0,0,0,3,0,0,2,LCD o plasma,Entre 50” y 60” (Grande)
96,1,5,3,4,7,1,0,0,0,3,0,0,1,LCD o plasma,Entre 50” y 60” (Grande)
96,1,1,4,2,7,1,0,0,2,0,0,0,5,Analógica,Entre 30” y 39” (Chica)
97,1,1,1,4,7,4,0,0,2,3,0,0,2,OLED,Entre 50” y 60” (Grande)
97,1,2,1,5,7,3,0,0,0,3,0,0,1,OLED,Mayor a 60” (Extra grande)
98,1,1,2,4,7,5,0,1,0,3,0,0,1,LED,Entre 50” y 60” (Grande)
99,1,1,1,3,7,1,30,0,0,3,0,0,2,OLED,Entre 40” y 49” (Mediana)
99,1,2,2,4,2,1,0,0,0,3,0,0,5,LED,Entre 50” y 60” (Grande)
100,1,1,3,3,7,14,0,0,2,3,0,0,3,LCD o plasma,Entre 40” y 49” (Mediana)
101,1,1,4,3,3,4,0,0,0,3,0,0,23,Analógica,Entre 40” y 49” (Mediana)
101,1,2,3,2,7,3,0,0,0,3,0,0,2,LCD o plasma,Entre 30” y 39” (Chica)
102,1,1,2,4,7,3,0,1,0,3,0,0,2,LED,Entre 50” y 60” (Grande)
103,1,1,3,2,7,7,0,1,2,3,0,0,4,LCD o plasma,Entre 30” y 39” (Chica)
104,1,1,3,1,2,5,0,0,0,3,0,0,3,LCD o plasma,Menor a 30” (muy chica)
105,1,1,3,3,7,4,0,1,2,3,0,0,6,LCD o plasma,Entre 40” y 49” (Mediana)
106,1,1,2,2,7,2,0,0,0,3,0,0,1,LED,Entre 30” y 39” (Chica)
107,1,1,2,3,7,3,0,0,0,3,0,0,1,LED,Entre 40” y 49” (Mediana)
107,1,2,4,1,7,3,0,0,0,3,0,0,9,Analógica,Menor a 30” (muy chica)
108,1,2,4,1,2,1,0,0,0,3,0,0,20,Analógica,Menor a 30” (muy chica)
108,1,1,4,1,7,0,30,0,0,3,0,0,20,Analógica,Menor a 30” (muy chica)
109,1,1,3,3,7,3,0,0,0,3,0,0,3,LCD o plasma,Entre 40” y 49” (Mediana)
110,1,1,4,3,7,3,0,0,0,3,0,0,8,Analógica,Entre 40” y 49” (Mediana)
110,1,2,2,3,3,1,30,0,0,3,0,0,2,LED,Entre 40” y 49” (Mediana)
111,1,1,1,4,7,4,0,1,2,3,0,0,2,OLED,Entre 50” y 60” (Grande)
111,1,3,3,2,7,3,0,0,0,3,0,0,1,LCD o plasma,Entre 30” y 39” (Chica)
111,1,2,2,4,1,2,0,0,0,3,0,0,4,LED,Entre 50” y 60” (Grande)
112,1,2,4,3,2,3,30,1,0,3,0,0,14,Analógica,Entre 40” y 49” (Mediana)
112,1,1,4,4,7,3,30,0,2,3,0,0,30,Analógica,Entre 50” y 60” (Grande)
113,1,1,3,3,7,5,0,1,2,3,0,0,4,LCD o plasma,Entre 40” y 49” (Mediana)
113,1,2,3,3,7,2,0,0,0,3,0,0,3,LCD o plasma,Entre 40” y 49” (Mediana)
114,1,1,2,2,4,1,0,0,0,3,0,0,2,LED,Entre 30” y 39” (Chica)
115,1,1,3,1,2,2,0,0,0,3,0,0,3,LCD o plasma,Menor a 30” (muy chica)
116,1,2,3,3,7,3,0,0,2,3,0,0,4,LCD o plasma,Entre 40” y 49” (Mediana)
116,1,1,3,2,7,2,0,0,0,3,0,0,8,LCD o plasma,Entre 30” y 39” (Chica)
117,1,1,2,3,7,2,0,0,0,3,0,0,2,LED,Entre 40” y 49” (Mediana)
118,1,1,3,2,7,5,0,0,2,3,0,0,4,LCD o plasma,Entre 30” y 39” (Chica)
120,1,1,3,2,7,5,0,1,0,3,0,0,3,LCD o plasma,Entre 30” y 39” (Chica)
121,1,1,3,3,7,3,0,0,0,3,0,0,2,LCD o plasma,Entre 40” y 49” (Mediana)
122,1,1,2,4,7,3,0,0,0,3,0,0,2,LED,Entre 50” y 60” (Grande)
123,1,1,2,2,7,2,0,0,0,3,0,0,3,LED,Entre 30” y 39” (Chica)
123,1,2,2,2,7,3,0,0,0,3,0,0,3,LED,Entre 30” y 39” (Chica)
123,1,3,3,2,7,3,0,0,0,3,0,0,2,LCD o plasma,Entre 30” y 39” (Chica)
123,1,4,3,2,7,5,0,0,0,3,0,0,2,LCD o plasma,Entre 30” y 39” (Chica)
124,1,1,2,3,7,2,0,0,2,3,0,0,3,LED,Entre 40” y 49” (Mediana)
125,1,1,4,4,7,4,0,0,2,3,0,0,15,Analógica,Entre 50” y 60” (Grande)
125,1,2,2,4,7,4,0,0,2,3,0,0,6,LED,Entre 50” y 60” (Grande)
126,1,2,3,4,7,2,0,0,0,3,0,0,3,LCD o plasma,Entre 50” y 60” (Grande)
126,1,3,3,4,7,0,30,0,0,3,0,0,2,LCD o plasma,Entre 50” y 60” (Grande)
126,1,1,4,3,7,1,0,0,2,0,0,0,15,Analógica,Entre 40” y 49” (Mediana)
128,1,2,3,4,7,2,0,0,0,3,0,0,1,LCD o plasma,Entre 50” y 60” (Grande)
128,1,1,3,2,7,2,0,0,0,3,0,0,4,LCD o plasma,Entre 30” y 39” (Chica)
129,1,1,3,3,7,5,0,0,2,3,0,0,5,LCD o plasma,Entre 40” y 49” (Mediana)
129,1,2,3,3,7,3,0,0,0,3,0,0,3,LCD o plasma,Entre 40” y 49” (Mediana)
130,1,1,4,1,7,1,30,0,0,3,0,0,15,Analógica,Menor a 30” (muy chica)
130,1,2,4,2,7,1,30,0,0,3,0,0,10,Analógica,Entre 30” y 39” (Chica)
131,1,1,2,2,7,3,0,0,0,3,0,0,3,LED,Entre 30” y 39” (Chica)
132,1,1,2,3,7,3,0,0,0,3,0,0,4,LED,Entre 40” y 49” (Mediana)
133,1,1,3,2,7,4,0,0,0,3,0,0,2,LCD o plasma,Entre 30” y 39” (Chica)
134,1,1,4,1,7,5,0,1,0,3,0,0,8,Analógica,Menor a 30” (muy chica)
134,1,2,4,1,7,5,0,1,0,3,0,0,15,Analógica,Menor a 30” (muy chica)
135,1,1,2,1,7,6,0,1,0,3,0,0,4,LED,Menor a 30” (muy chica)
135,1,2,2,1,7,2,0,0,0,3,0,0,3,LED,Menor a 30” (muy chica)
136,1,1,2,3,2,1,0,0,2,0,0,0,3,LED,Entre 40” y 49” (Mediana)
136,1,2,3,3,7,4,0,0,2,3,0,0,5,LCD o plasma,Entre 40” y 49” (Mediana)
137,1,2,2,2,7,0,30,1,0,0,0,0,2,LED,Entre 30” y 39” (Chica)
137,1,3,4,1,7,0,30,1,0,0,0,0,10,Analógica,Menor a 30” (muy chica)
137,1,1,4,1,7,2,0,0,0,3,0,0,17,Analógica,Menor a 30” (muy chica)
138,1,1,2,3,7,2,0,0,0,3,0,0,1,LED,Entre 40” y 49” (Mediana)
139,1,1,3,2,7,2,0,1,0,3,0,0,2,LCD o plasma,Entre 30” y 39” (Chica)
140,1,2,2,2,7,5,0,0,0,3,0,0,3,LED,Entre 30” y 39” (Chica)
140,1,1,4,2,7,5,0,1,0,3,0,0,15,Analógica,Entre 30” y 39” (Chica)
141,1,1,3,1,7,3,0,0,0,3,0,0,3,LCD o plasma,Menor a 30” (muy chica)
141,1,2,3,1,7,3,0,0,0,3,0,0,3,LCD o plasma,Menor a 30” (muy chica)
141,1,3,3,1,7,3,0,0,0,3,0,0,3,LCD o plasma,Menor a 30” (muy chica)
142,1,1,3,2,7,1,0,0,0,3,0,0,8,LCD o plasma,Entre 30” y 39” (Chica)
143,1,1,2,1,7,2,0,0,2,3,0,0,4,LED,Menor a 30” (muy chica)
144,1,1,4,3,4,1,0,0,0,3,0,0,5,Analógica,Entre 40” y 49” (Mediana)
145,1,1,4,3,7,11,0,0,2,3,4,0,3,Analógica,Entre 40” y 49” (Mediana)
146,1,1,4,3,7,4,0,0,2,3,0,0,8,Analógica,Entre 40” y 49” (Mediana)
146,1,2,3,2,7,1,0,0,0,3,0,0,3,LCD o plasma,Entre 30” y 39” (Chica)
147,1,1,3,3,5,2,0,0,0,3,0,0,12,LCD o plasma,Entre 40” y 49” (Mediana)
148,1,1,2,3,7,1,0,1,0,0,0,0,9,LED,Entre 40” y 49” (Mediana)
149,1,1,2,2,7,6,0,0,2,3,0,0,99,LED,Entre 30” y 39” (Chica)
150,1,1,4,2,7,3,0,0,0,3,0,0,10,Analógica,Entre 30” y 39” (Chica)
151,1,1,3,3,7,3,0,0,0,3,0,0,5,LCD o plasma,Entre 40” y 49” (Mediana)
152,1,1,3,2,7,4,0,0,2,3,0,0,8,LCD o plasma,Entre 30” y 39” (Chica)
153,1,1,3,2,7,5,0,0,2,3,0,0,5,LCD o plasma,Entre 30” y 39” (Chica)
154,1,1,3,1,7,4,0,0,0,3,0,0,2,LCD o plasma,Menor a 30” (muy chica)
155,1,1,2,2,3,4,0,0,0,3,0,0,2,LED,Entre 30” y 39” (Chica)
156,1,2,3,2,7,5,0,0,2,3,0,0,2,LCD o plasma,Entre 30” y 39” (Chica)
156,1,1,3,2,3,3,0,0,0,3,0,0,5,LCD o plasma,Entre 30” y 39” (Chica)
157,1,2,3,2,7,2,0,0,0,3,0,0,99,LCD o plasma,Entre 30” y 39” (Chica)
157,1,1,3,1,7,4,0,0,0,3,0,0,3,LCD o plasma,Menor a 30” (muy chica)
158,1,1,2,3,7,3,0,0,0,3,0,0,2,LED,Entre 40” y 49” (Mediana)
159,1,1,2,4,7,5,0,0,2,3,0,0,5,LED,Entre 50” y 60” (Grande)
160,1,1,2,3,7,4,0,0,2,3,0,0,3,LED,Entre 40” y 49” (Mediana)
161,1,1,2,4,7,1,0,0,0,3,0,0,1,LED,Entre 50” y 60” (Grande)
161,1,2,2,5,7,1,0,0,0,3,0,0,3,LED,Mayor a 60” (Extra grande)
162,1,3,4,3,7,1,0,0,0,3,0,0,9,Analógica,Entre 40” y 49” (Mediana)
162,1,1,2,4,7,2,0,0,0,3,0,0,2,LED,Entre 50” y 60” (Grande)
162,1,2,2,3,7,2,0,0,0,3,0,0,5,LED,Entre 40” y 49” (Mediana)
163,1,1,2,3,7,4,0,0,0,3,0,0,3,LED,Entre 40” y 49” (Mediana)
164,1,1,4,1,7,4,0,0,2,3,0,0,8,Analógica,Menor a 30” (muy chica)
164,1,2,4,1,7,3,0,0,2,3,0,0,8,Analógica,Menor a 30” (muy chica)
165,1,1,3,3,7,1,0,0,0,3,0,0,3,LCD o plasma,Entre 40” y 49” (Mediana)
166,1,1,3,2,7,3,0,0,2,3,0,0,2,LCD o plasma,Entre 30” y 39” (Chica)
167,1,1,4,1,7,5,0,0,2,3,0,0,5,Analógica,Menor a 30” (muy chica)
167,1,2,4,1,7,5,0,0,2,3,0,0,10,Analógica,Menor a 30” (muy chica)
168,1,1,3,3,7,1,0,0,0,3,0,0,3,LCD o plasma,Entre 40” y 49” (Mediana)
169,1,3,2,4,2,2,0,0,0,3,0,0,5,LED,Entre 50” y 60” (Grande)
169,1,1,2,4,7,2,0,0,0,3,0,0,4,LED,Entre 50” y 60” (Grande)
169,1,2,2,4,7,2,0,0,0,3,0,0,4,LED,Entre 50” y 60” (Grande)
170,1,2,2,4,7,1,0,0,0,3,0,0,3,LED,Entre 50” y 60” (Grande)
170,1,3,2,2,7,2,0,0,0,3,0,0,5,LED,Entre 30” y 39” (Chica)
170,1,1,2,3,7,4,0,1,0,3,0,0,1,LED,Entre 40” y 49” (Mediana)
171,1,1,2,4,7,3,0,0,0,3,0,0,2,LED,Entre 50” y 60” (Grande)
172,1,1,2,4,7,1,0,0,0,3,0,0,5,LED,Entre 50” y 60” (Grande)
172,1,2,2,3,7,2,0,0,2,0,0,0,5,LED,Entre 40” y 49” (Mediana)
173,1,1,3,2,7,1,0,0,0,3,0,0,5,LCD o plasma,Entre 30” y 39” (Chica)
