aire_tipo,aire_capa,aire_dia,aire_hor,aire_anio,aire_ene,aire_feb,aire_mar,aire_abr,aire_may,aire_jun,aire_jul,aire_ago,aire_sep,aire_oct,aire_nov,aire_dic
5,5,210,10,6,0.0,0.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
3,9,150,12,99,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
3,9,150,24,5,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
3,2,150,24,1,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
5,5,150,12,3,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,9.0,10.0,0.0,0.0
3,3,150,12,3,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
9,9,150,10,99,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
3,9,150,12,99,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
2,2,90,12,1,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
2,3,120,2,1,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
2,2,90,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,10.0,0.0,0.0
3,9,150,8,4,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
2,4,120,6,8,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
2,4,120,6,8,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
2,5,120,6,3,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
2,3,120,6,4,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
2,5,120,6,5,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
5,5,60,24,4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0
5,5,60,24,4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0
5,3,60,24,3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0
5,3,60,24,3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0
5,3,60,24,3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0
6,1,90,24,3,0.0,0.0,0.0,0.0,5.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0
6,2,90,24,5,0.0,0.0,0.0,0.0,5.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0
6,1,90,24,3,0.0,0.0,0.0,0.0,5.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0
6,1,90,24,3,0.0,0.0,0.0,0.0,5.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0
2,3,120,2,2,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
2,3,120,2,1,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
2,5,120,2,8,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
5,4,90,6,1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,9.0,0.0,0.0,0.0
2,4,60,2,3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0
5,5,150,12,4,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
2,4,120,3,2,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
5,3,180,24,5,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,9.0,10.0,0.0,0.0
5,3,180,6,5,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,9.0,10.0,0.0,0.0
3,6,180,24,5,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,9.0,10.0,0.0,0.0
2,3,150,7,10,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
2,3,150,8,10,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
2,4,90,4,2,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
2,5,90,8,10,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
5,4,210,10,1,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,0.0,0.0
2,3,210,8,1,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,0.0,0.0
2,3,210,10,1,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,0.0,0.0
5,3,120,99,1,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
5,3,120,99,1,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
5,3,120,99,2,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
5,3,120,99,1,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
2,1,3,8,14,0.0,0.0,0.0,0.0,5.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0
2,1,90,5,15,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
2,1,120,8,1,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
5,5,120,6,3,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
2,1,120,5,2,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
2,2,120,7,5,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
2,1,120,6,5,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
5,5,120,6,2,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
2,3,120,7,3,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
5,3,150,4,10,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
2,1,90,6,3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,9.0,0.0,0.0,0.0
2,3,90,8,1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,9.0,0.0,0.0,0.0
2,5,90,4,4,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
2,5,90,6,4,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
6,5,210,9,6,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,0.0
3,5,120,9,2,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
6,2,90,8,1,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
3,6,180,18,10,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
2,3,120,4,3,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
3,9,120,7,4,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
2,2,60,3,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0
2,2,60,3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0
5,3,150,5,2,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
2,3,150,24,4,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
2,5,120,24,2,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
5,3,120,4,99,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
5,3,90,5,6,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
5,3,90,8,6,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
5,3,90,5,6,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
5,5,150,12,1,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
5,3,150,12,4,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
5,3,90,24,3,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
5,3,90,12,3,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
5,9,180,8,1,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
5,3,150,24,3,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
5,3,150,10,5,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
5,4,150,8,2,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
5,3,60,5,2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0
2,5,180,12,15,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,9.0,10.0,0.0,0.0
2,2,180,12,3,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,9.0,10.0,0.0,0.0
2,2,180,12,4,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
5,4,30,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
5,4,180,2,2,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
5,4,180,24,2,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
2,2,180,8,1,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
2,3,90,18,4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,9.0,0.0,0.0,0.0
5,3,90,8,1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,9.0,0.0,0.0,0.0
5,3,90,8,1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,9.0,0.0,0.0,0.0
6,3,180,12,3,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
6,3,150,12,3,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
5,5,90,15,8,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
5,5,90,15,8,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
5,5,90,24,8,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
