folio,foliohog,id_pobla,edad,nacio_dia,nacio_mes,sexo,parentesco,asiste_esc,tipo_esc,turno_esc,no_asiste,grado_inst,nivel_inst,alfabetism,edo_conyug,nivel_inst_desc,edo_conyug_desc,sexo_desc,parentesco_desc
16618,1,4,4,18,11,1,3,1,1,1,0,0,0,0,0,Ninguno / No aplica,No aplica,Hombre,Hija(o)
16618,1,5,0,30,11,2,3,0,0,0,0,0,0,0,0,Ninguno / No aplica,No aplica,Mujer,Hija(o)
16619,1,1,64,31,3,2,1,2,0,0,0,3,5,1,5,Normal básica,Está soltera(o),Mujer,Jefe(a)
16619,1,2,56,23,3,2,8,2,0,0,0,2,8,1,5,Estudios técnicos o comerciales con preparatoria terminada,Está soltera(o),Mujer,Otro
16619,1,3,28,14,8,1,8,1,2,1,0,4,10,1,5,Licenciatura o profesional,Está soltera(o),Hombre,Otro
16619,1,4,25,11,9,2,8,2,0,0,9,5,10,1,5,Licenciatura o profesional,Está soltera(o),Mujer,Otro
16620,1,1,67,27,10,1,1,2,0,0,0,3,3,1,3,Secundaria,Está divorciada(o),Hombre,Jefe(a)
16620,1,2,48,12,12,2,8,2,0,0,0,5,10,1,5,Licenciatura o profesional,Está soltera(o),Mujer,Otro
16620,1,3,39,9,12,2,5,2,0,0,0,5,10,1,5,Licenciatura o profesional,Está soltera(o),Mujer,Nuera o yerno
16621,1,1,52,17,3,2,1,2,0,0,0,3,8,1,3,Estudios técnicos o comerciales con preparatoria terminada,Está divorciada(o),Mujer,Jefe(a)
16621,1,2,30,30,9,1,3,2,0,0,7,3,7,1,1,Estudios técnicos o comerciales con secundaria terminada,Vive con su pareja o en unión libre,Hombre,Hija(o)
16621,1,3,28,8,3,2,5,2,0,0,7,3,4,1,1,Preparatoria o bachillerato,Vive con su pareja o en unión libre,Mujer,Nuera o yerno
16622,1,1,52,1,6,1,1,2,0,0,0,1,4,1,1,Preparatoria o bachillerato,Vive con su pareja o en unión libre,Hombre,Jefe(a)
16622,1,2,21,5,6,1,3,1,1,1,0,2,10,1,5,Licenciatura o profesional,Está soltera(o),Hombre,Hija(o)
16623,1,1,41,5,9,1,1,2,0,0,0,5,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
16623,1,2,42,27,4,2,2,2,0,0,0,4,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
16623,1,3,14,27,5,1,3,1,2,1,0,2,3,1,5,Secundaria,Está soltera(o),Hombre,Hija(o)
16623,1,4,11,15,2,1,3,1,2,1,0,5,2,1,0,Primaria,No aplica,Hombre,Hija(o)
16624,1,1,66,24,1,2,1,2,0,0,0,4,2,1,4,Primaria,Está viuda(o),Mujer,Jefe(a)
16624,1,2,45,23,10,1,5,2,0,0,0,3,3,1,6,Secundaria,Está casada(o) civil y/o religiosamente,Hombre,Nuera o yerno
16624,1,3,40,31,1,2,3,2,0,0,0,3,3,1,6,Secundaria,Está casada(o) civil y/o religiosamente,Mujer,Hija(o)
16624,1,4,24,24,3,1,4,2,0,0,8,3,3,1,1,Secundaria,Vive con su pareja o en unión libre,Hombre,Nieta(o)
16624,1,5,14,28,8,2,4,1,1,1,0,2,3,1,5,Secundaria,Está soltera(o),Mujer,Nieta(o)
16625,1,1,43,12,3,2,1,2,0,0,0,4,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Mujer,Jefe(a)
16625,1,2,16,29,4,2,3,1,2,1,0,3,3,1,5,Secundaria,Está soltera(o),Mujer,Hija(o)
16625,1,3,10,29,11,2,3,1,1,1,0,5,2,1,0,Primaria,No aplica,Mujer,Hija(o)
16625,1,4,23,2,12,2,3,2,0,0,9,3,4,1,2,Preparatoria o bachillerato,Está separada(o),Mujer,Hija(o)
16625,1,5,43,30,3,1,2,2,0,0,0,3,4,1,6,Preparatoria o bachillerato,Está casada(o) civil y/o religiosamente,Hombre,Esposa(o) compañera(o)
16626,1,1,48,18,6,2,1,2,0,0,0,3,7,1,3,Estudios técnicos o comerciales con secundaria terminada,Está divorciada(o),Mujer,Jefe(a)
16626,1,2,20,15,11,2,3,1,1,1,0,3,10,1,5,Licenciatura o profesional,Está soltera(o),Mujer,Hija(o)
16626,1,3,19,19,4,2,3,2,0,0,7,1,4,1,5,Preparatoria o bachillerato,Está soltera(o),Mujer,Hija(o)
16627,1,1,71,20,9,1,1,2,0,0,0,0,0,1,6,Ninguno / No aplica,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
16627,1,2,66,9,11,2,2,2,0,0,0,3,3,1,6,Secundaria,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
16627,1,3,39,2,5,2,3,2,0,0,0,3,3,1,5,Secundaria,Está soltera(o),Mujer,Hija(o)
16627,1,4,44,28,7,1,3,2,0,0,0,3,3,1,5,Secundaria,Está soltera(o),Hombre,Hija(o)
16627,1,5,13,8,12,1,4,1,1,1,0,2,3,1,5,Secundaria,Está soltera(o),Hombre,Nieta(o)
16627,1,6,12,18,11,2,4,1,1,1,0,1,3,1,5,Secundaria,Está soltera(o),Mujer,Nieta(o)
16628,1,1,70,21,1,1,1,2,0,0,0,5,10,1,4,Licenciatura o profesional,Está viuda(o),Hombre,Jefe(a)
16629,1,1,45,3,9,1,1,1,1,3,0,5,10,1,2,Licenciatura o profesional,Está separada(o),Hombre,Jefe(a)
16629,1,2,43,7,9,2,8,2,0,0,0,3,3,1,5,Secundaria,Está soltera(o),Mujer,Otro
16629,1,3,36,5,8,2,8,2,0,0,0,5,2,1,5,Primaria,Está soltera(o),Mujer,Otro
16629,1,4,7,28,10,2,8,1,1,1,0,3,1,1,0,Preescolar,No aplica,Mujer,Otro
16629,1,5,4,15,11,2,8,1,1,1,0,0,0,0,0,Ninguno / No aplica,No aplica,Mujer,Otro
