folio,foliohog,id_focos,foco_num,foco_hor,foco_min,foco_fluor,foco_led,foco_incan,foco_lugar_desc
30,1,1,1,2,0,1,0,0,La cocina
30,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
31,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
31,1,6,1,1,0,1,0,0,La cochera o calle
31,1,5,2,0,10,0,0,2,El patio
31,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
31,1,4,1,0,30,0,0,1,Todas las recámaras
31,1,3,1,0,15,0,0,1,Todos los baños
31,1,2,2,0,30,2,0,0,Sala – Comedor
31,1,1,0,0,0,0,0,0,La cocina
32,1,7,1,0,0,1,0,0,Escaleras o pasillos interiores
32,1,6,1,1,0,1,0,0,La cochera o calle
32,1,5,0,0,0,0,0,0,El patio
32,1,1,1,2,0,1,0,0,La cocina
32,1,2,1,5,0,1,0,0,Sala – Comedor
32,1,3,2,0,25,2,0,0,Todos los baños
32,1,4,3,0,35,3,0,0,Todas las recámaras
32,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
33,1,1,1,1,0,0,1,0,La cocina
33,1,2,1,3,0,0,1,0,Sala – Comedor
33,1,3,2,1,30,0,2,0,Todos los baños
33,1,4,1,1,0,0,1,0,Todas las recámaras
33,1,5,0,0,0,0,0,0,El patio
33,1,6,5,1,0,0,5,0,La cochera o calle
33,1,7,1,0,30,0,1,0,Escaleras o pasillos interiores
33,1,8,4,1,0,0,4,0,Otros espacios de la vivienda
34,1,3,1,1,0,1,0,0,Todos los baños
34,1,2,2,1,0,0,0,2,Sala – Comedor
34,1,1,1,0,30,1,0,0,La cocina
34,1,4,3,1,0,3,0,0,Todas las recámaras
34,1,5,0,0,0,0,0,0,El patio
34,1,6,0,0,0,0,0,0,La cochera o calle
34,1,7,2,1,30,2,0,0,Escaleras o pasillos interiores
34,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
35,1,3,2,0,0,2,0,0,Todos los baños
35,1,2,0,0,0,0,0,0,Sala – Comedor
35,1,1,1,2,0,1,0,0,La cocina
35,1,4,4,1,0,4,0,0,Todas las recámaras
35,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
35,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
35,1,6,0,0,0,0,0,0,La cochera o calle
35,1,5,0,0,0,0,0,0,El patio
36,1,1,2,5,0,2,0,0,La cocina
36,1,2,0,0,0,0,0,0,Sala – Comedor
36,1,3,1,0,30,1,0,0,Todos los baños
36,1,7,1,5,0,1,0,0,Escaleras o pasillos interiores
36,1,6,0,0,0,0,0,0,La cochera o calle
36,1,5,0,0,0,0,0,0,El patio
36,1,4,1,4,0,1,0,0,Todas las recámaras
36,1,8,1,4,0,1,0,0,Otros espacios de la vivienda
37,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
37,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
37,1,6,0,0,0,0,0,0,La cochera o calle
37,1,5,1,0,20,1,0,0,El patio
37,1,4,2,0,45,2,0,0,Todas las recámaras
37,1,3,1,2,0,1,0,0,Todos los baños
37,1,1,1,5,0,1,0,0,La cocina
37,1,2,0,0,0,0,0,0,Sala – Comedor
38,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
38,1,6,1,3,0,1,0,0,La cochera o calle
38,1,5,0,0,0,0,0,0,El patio
38,1,4,4,0,15,4,0,0,Todas las recámaras
38,1,3,1,1,0,1,0,0,Todos los baños
38,1,2,1,3,0,1,0,0,Sala – Comedor
38,1,1,1,0,50,1,0,0,La cocina
38,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
39,1,4,2,5,0,2,0,0,Todas las recámaras
39,1,5,0,0,0,0,0,0,El patio
39,1,3,1,2,0,1,0,0,Todos los baños
39,1,2,0,0,0,0,0,0,Sala – Comedor
39,1,1,1,4,0,1,0,0,La cocina
39,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
39,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
39,1,6,1,3,0,1,0,0,La cochera o calle
40,1,4,2,3,0,0,0,2,Todas las recámaras
40,1,5,1,4,0,0,0,1,El patio
40,1,1,1,4,0,0,0,1,La cocina
40,1,2,2,3,0,0,0,2,Sala – Comedor
40,1,3,1,0,30,0,0,1,Todos los baños
40,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
40,1,7,1,0,20,0,0,1,Escaleras o pasillos interiores
40,1,6,0,0,0,0,0,0,La cochera o calle
41,1,1,1,3,0,1,0,0,La cocina
41,1,2,1,4,0,1,0,0,Sala – Comedor
41,1,3,2,1,0,2,0,0,Todos los baños
41,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
41,1,6,1,2,0,1,0,0,La cochera o calle
41,1,5,0,0,0,0,0,0,El patio
41,1,4,2,3,0,2,0,0,Todas las recámaras
41,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
42,1,4,1,12,0,1,0,0,Todas las recámaras
42,1,5,1,1,0,1,0,0,El patio
42,1,6,0,0,0,0,0,0,La cochera o calle
42,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
42,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
42,1,1,1,1,0,1,0,0,La cocina
42,1,2,1,0,30,1,0,0,Sala – Comedor
42,1,3,1,0,15,1,0,0,Todos los baños
43,1,1,1,2,0,0,0,1,La cocina
43,1,2,0,0,0,0,0,0,Sala – Comedor
43,1,3,1,1,0,0,0,1,Todos los baños
43,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
43,1,5,1,0,30,0,0,1,El patio
43,1,6,0,0,0,0,0,0,La cochera o calle
43,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
43,1,4,2,2,0,0,0,2,Todas las recámaras
44,1,1,1,4,0,1,0,0,La cocina
44,1,2,2,4,0,2,0,0,Sala – Comedor
44,1,3,2,2,0,2,0,0,Todos los baños
44,1,4,4,2,0,4,0,0,Todas las recámaras
44,1,5,1,1,0,1,0,0,El patio
44,1,6,1,2,0,1,0,0,La cochera o calle
44,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
44,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
45,1,2,1,4,0,1,0,0,Sala – Comedor
45,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
45,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
45,1,6,0,0,0,0,0,0,La cochera o calle
45,1,5,0,0,0,0,0,0,El patio
45,1,4,3,4,0,3,0,0,Todas las recámaras
45,1,3,1,1,0,1,0,0,Todos los baños
45,1,1,1,3,0,1,0,0,La cocina
46,1,4,1,2,0,1,0,0,Todas las recámaras
46,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
46,1,6,0,0,0,0,0,0,La cochera o calle
46,1,5,0,0,0,0,0,0,El patio
46,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
46,1,3,1,2,0,1,0,0,Todos los baños
46,1,2,2,2,0,2,0,0,Sala – Comedor
46,1,1,1,4,0,1,0,0,La cocina
47,1,6,0,0,0,0,0,0,La cochera o calle
47,1,1,1,2,0,1,0,0,La cocina
47,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
47,1,2,2,4,0,2,0,0,Sala – Comedor
47,1,3,1,0,30,1,0,0,Todos los baños
47,1,4,2,4,0,2,0,0,Todas las recámaras
47,1,5,2,4,0,2,0,0,El patio
47,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
48,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
48,1,1,1,2,0,1,0,0,La cocina
48,1,2,1,1,0,1,0,0,Sala – Comedor
48,1,3,1,0,15,1,0,0,Todos los baños
48,1,4,1,3,0,1,0,0,Todas las recámaras
48,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
48,1,6,0,0,0,0,0,0,La cochera o calle
48,1,5,0,0,0,0,0,0,El patio
49,1,3,1,0,30,1,0,0,Todos los baños
49,1,2,2,2,0,2,0,0,Sala – Comedor
49,1,5,1,2,0,1,0,0,El patio
49,1,6,0,0,0,0,0,0,La cochera o calle
49,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
49,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
49,1,4,3,1,0,3,0,0,Todas las recámaras
49,1,1,1,4,0,1,0,0,La cocina
50,1,1,1,4,0,1,0,0,La cocina
50,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
50,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
50,1,6,2,0,30,2,0,0,La cochera o calle
50,1,5,0,0,0,0,0,0,El patio
50,1,4,16,0,10,16,0,0,Todas las recámaras
50,1,3,3,0,30,3,0,0,Todos los baños
50,1,2,4,0,30,4,0,0,Sala – Comedor
51,1,2,1,0,45,0,0,1,Sala – Comedor
51,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
51,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
51,1,6,0,0,0,0,0,0,La cochera o calle
51,1,5,1,0,30,0,0,1,El patio
51,1,1,1,0,20,0,0,1,La cocina
51,1,3,1,0,20,0,0,1,Todos los baños
51,1,4,3,0,15,0,0,3,Todas las recámaras
52,1,3,1,1,0,1,0,0,Todos los baños
52,1,2,2,6,0,2,0,0,Sala – Comedor
52,1,1,1,6,0,1,0,0,La cocina
52,1,7,0,0,0,0,0,0,Escaleras o pasillos interiores
52,1,6,0,0,0,0,0,0,La cochera o calle
52,1,5,1,3,0,1,0,0,El patio
52,1,4,2,4,0,2,0,0,Todas las recámaras
52,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
53,1,8,0,0,0,0,0,0,Otros espacios de la vivienda
53,1,5,0,0,0,0,0,0,El patio
53,1,7,1,2,0,1,0,0,Escaleras o pasillos interiores
53,1,6,0,0,0,0,0,0,La cochera o calle
53,1,4,3,1,0,3,0,0,Todas las recámaras
53,1,3,1,0,30,1,0,0,Todos los baños
53,1,2,2,2,30,2,0,0,Sala – Comedor
