folio,foliohog,id_cagua,cagua_tipo,cagua_capa,cagua_adqu,cagua_anio,cagua_mant,cagua_tipo_desc,cagua_adqu_desc,cagua_mant_desc,cagua_capa_desc
109,1,1,7,3,1,10,4,Solar,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
111,1,1,7,4,1,2,1,Solar,Nuevo,Cada 6 meses,De 90 a 110 litros (hasta 6 personas)
112,1,1,1,3,2,25,2,De gas con deposito,Usado,Cada año,De 70 a 80 litros (hasta 4 personas)
113,1,1,7,3,1,3,4,Solar,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
114,1,1,1,9,1,99,4,De gas con deposito,Nuevo,No le da mantenimiento,No sabe
116,1,1,2,0,1,6,4,De gas de rápida recuperación,Nuevo,No le da mantenimiento,
117,1,1,2,0,1,99,1,De gas de rápida recuperación,Nuevo,Cada 6 meses,
118,1,1,2,0,1,5,4,De gas de rápida recuperación,Nuevo,No le da mantenimiento,
121,1,1,3,0,1,1,4,De gas instantáneo de paso,Nuevo,No le da mantenimiento,
122,1,1,3,0,1,5,1,De gas instantáneo de paso,Nuevo,Cada 6 meses,
125,1,1,1,3,2,20,4,De gas con deposito,Usado,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
126,1,1,2,0,1,2,2,De gas de rápida recuperación,Nuevo,Cada año,
127,1,1,7,4,1,8,4,Solar,Nuevo,No le da mantenimiento,De 90 a 110 litros (hasta 6 personas)
128,1,1,1,1,1,2,1,De gas con deposito,Nuevo,Cada 6 meses,De 38 a 40 litros (hasta 2 personas)
129,1,1,1,3,1,15,4,De gas con deposito,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
130,1,1,7,4,1,12,4,Solar,Nuevo,No le da mantenimiento,De 90 a 110 litros (hasta 6 personas)
131,1,1,1,3,1,7,2,De gas con deposito,Nuevo,Cada año,De 70 a 80 litros (hasta 4 personas)
132,1,1,1,9,1,1,4,De gas con deposito,Nuevo,No le da mantenimiento,No sabe
133,1,1,1,1,2,99,4,De gas con deposito,Usado,No le da mantenimiento,De 38 a 40 litros (hasta 2 personas)
134,1,1,1,4,2,8,4,De gas con deposito,Usado,No le da mantenimiento,De 90 a 110 litros (hasta 6 personas)
135,1,1,2,0,1,5,4,De gas de rápida recuperación,Nuevo,No le da mantenimiento,
136,1,1,7,5,1,10,2,Solar,Nuevo,Cada año,De 120 a 140 litros (hasta 7 personas)
137,1,1,1,1,1,2,1,De gas con deposito,Nuevo,Cada 6 meses,De 38 a 40 litros (hasta 2 personas)
138,1,1,7,4,1,1,1,Solar,Nuevo,Cada 6 meses,De 90 a 110 litros (hasta 6 personas)
140,1,1,7,3,1,7,4,Solar,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
141,1,1,7,3,1,4,4,Solar,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
143,1,1,1,3,1,10,4,De gas con deposito,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
144,1,1,7,3,1,3,4,Solar,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
148,1,1,1,1,1,5,2,De gas con deposito,Nuevo,Cada año,De 38 a 40 litros (hasta 2 personas)
149,1,1,1,1,2,99,4,De gas con deposito,Usado,No le da mantenimiento,De 38 a 40 litros (hasta 2 personas)
150,1,1,1,9,1,3,4,De gas con deposito,Nuevo,No le da mantenimiento,No sabe
151,1,1,1,9,2,99,4,De gas con deposito,Usado,No le da mantenimiento,No sabe
153,1,1,1,1,2,2,4,De gas con deposito,Usado,No le da mantenimiento,De 38 a 40 litros (hasta 2 personas)
154,1,1,1,9,1,9,4,De gas con deposito,Nuevo,No le da mantenimiento,No sabe
