folio,foliohog,id_cagua,cagua_tipo,cagua_capa,cagua_adqu,cagua_anio,cagua_mant
434,1,1,7,4,1,5,2
435,1,1,1,9,1,99,4
444,1,1,7,3,1,3,4
446,1,1,1,3,1,6,1
451,1,1,7,3,1,1,4
455,1,1,2, ,1,3,2
456,1,1,1,3,1,10,2
457,1,1,1,2,1,1,4
458,1,1,1,3,2,99,4
459,1,1,1,2,1,2,2
463,1,1,7,4,1,4,4
464,1,1,7,4,2,1,4
466,1,1,7,4,1,4,3
470,1,1,7,3,1,4,2
478,1,1,7,4,1,1,4
483,1,1,1,4,1,10,1
490,1,1,1,3,1,6,2
491,1,1,1,9,2,99,4
492,1,1,1,4,1,8,4
494,1,1,7,4,1,5,2
495,1,1,1,4,1,5,3
496,1,1,1,3,1,10,3
497,1,1,7,5,1,2,2
498,1,1,1,4,1,5,3
499,1,1,1,3,2,99,4
500,1,1,7,3,1,2,2
501,1,2,7,4,1,2,4
501,1,1,4, ,1,2,4
502,1,1,7,4,1,4,4
508,1,1,7,3,1,1,1
510,1,1,1,3,2,99,4
514,1,1,1,3,1,13,1
522,1,1,7,3,2,99,2
523,1,1,7,3,1,3,4
527,1,1,1,4,1,10,2
528,1,1,1,3,1,1,1
529,1,1,1,3,1,11,2
530,1,1,4, ,1,5,2
532,1,1,1,3,2,10,4
534,1,1,1,3,1,12,4
535,1,1,1,3,1,4,4
538,1,1,7,3,1,12,4
540,1,1,1,9,1,11,2
544,1,1,1,2,1,1,4
547,1,1,7,3,1,1,4
549,1,1,1,3,1,10,2
550,1,1,1,1,1,5,2
551,1,1,1,1,1,8,4
553,1,1,1,2,1,9,4
555,1,1,7,9,1,6,4
556,1,1,7,2,1,6,4
569,1,1,7,9,1,1,4
570,1,1,1,2,1,4,4
571,1,1,1,9,1,7,4
573,1,1,1,1,1,10,2
574,1,1,7,3,1,2,4
580,1,1,1,3,1,8,1
584,1,1,7,3,2,4,4
588,1,1,1,1,1,10,1
589,1,1,1,3,1,9,1
590,1,1,3, ,1,5,4
591,1,1,2, ,1,1,4
592,1,1,1,3,1,4,4
593,1,1,7,9,1,5,4
594,1,1,7,6,1,2,2
595,1,1,7,4,1,10,1
596,1,1,6,3,2,40,3
598,1,1,7,3,1,7,4
600,1,1,7,3,1,2,4
601,1,1,7,2,1,3,4
602,1,1,1,9,2,99,4
603,1,1,7,3,1,1,4
605,1,1,7,3,1,3,4
607,1,1,7,4,1,1,4
608,1,1,7,3,1,3,4
610,1,1,7,1,1,4,4
613,1,1,1,9,2,50,4
614,1,1,7,3,1,1,1
616,1,1,2, ,1,6,4
617,1,1,7,1,2,99,4
618,1,1,1,3,2,2,1
619,1,1,7,3,1,5,1
622,1,1,1,2,1,5,4
624,1,1,7,5,1,5,3
627,1,1,7,5,1,1,4
628,1,1,7,4,1,1,4
635,1,1,1,4,1,5,1
636,1,1,1,2,1,2,4
641,1,1,7,2,1,3,2
642,1,1,7,4,1,2,4
643,1,1,7,5,1,5,3
645,1,1,7,1,1,2,4
646,1,1,7,3,1,2,4
652,1,1,7,2,1,3,2
654,1,1,7,3,1,2,4
658,1,1,7,2,1,7,4
658,1,2,1,3,1,17,4
659,1,1,7,3,1,2,1
662,1,1,1,3,1,3,1
664,1,1,1,9,2,99,2
665,1,1,1,9,1,12,4
666,1,1,7,1,1,3,4
668,1,1,7,1,1,3,4
670,1,2,3, ,1,8,4
670,1,1,7,2,1,1,4
671,1,1,7,3,1,3,1
672,1,1,1,3,1,18,4
673,1,1,1,1,1,10,3
675,1,1,7,4,1,7,4
676,1,1,7,4,1,5,4
676,1,2,1,3,1,4,4
678,1,1,7,4,1,1,2
690,1,1,7,3,1,1,4
692,1,1,7,3,1,1,4
696,1,1,1,3,2,99,1
698,1,1,1,4,1,3,2
699,1,1,7,4,1,6,1
700,1,1,7,4,1,5,3
703,1,1,1,6,1,3,2
704,1,1,7,4,1,1,4
705,1,1,7,3,1,3,4
706,1,1,5,1,1,4,4
707,1,1,1,1,1,10,1
708,1,1,7,3,1,1,4
712,1,1,7,3,1,2,4
713,1,1,7,3,1,2,4
714,1,1,7,4,1,1,4
715,1,1,7,4,1,4,2
716,1,1,7,4,1,2,4
717,1,1,7,4,1,3,4
719,1,1,7,6,1,2,4
721,1,1,7,4,1,1,4
723,1,1,7,3,1,4,1
724,1,1,7,2,1,1,4
725,1,1,7,3,1,2,1
726,1,1,7,2,1,2,4
727,1,1,7,2,1,3,4
728,1,1,7,1,1,2,4
729,1,1,7,1,1,2,4
730,1,1,1,1,1,4,4
731,1,1,1,2,2,99,4
732,1,1,1,1,1,15,3
733,1,1,7,3,1,1,4
735,1,1,7,4,1,1,4
737,1,1,7,5,1,3,4
739,1,1,7,4,1,1,4
742,1,1,7,3,1,2,4
745,1,1,1,1,2,99,4
746,1,1,1,9,1,11,2
749,1,1,1,1,2,99,4
750,1,1,7,3,1,1,4
753,1,1,1,3,2,99,4
754,1,1,7,3,2,2,2
757,1,1,4, ,1,6,2
759,1,1,2, ,1,2,1
762,1,1,7,2,1,5,2
763,1,1,7,3,1,2,3
764,1,1,7,3,1,1,4
765,1,1,4, ,1,19,2
765,1,2,7,3,1,3,1
766,1,1,7,3,1,6,4
767,1,1,1,3,1,2,2
767,1,2,7,3,1,3,2
768,1,2,7,4,1,7,4
768,1,1,1,4,1,12,2
771,1,1,1,4,1,1,4
776,1,1,1,9,2,99,1
777,1,1,6,4,1,2,4
778,1,1,7,9,1,2,4
779,1,1,7,9,1,1,4
782,1,1,7,9,1,3,4
783,1,1,7,3,1,3,1
785,1,1,7,2,1,1,4
786,1,1,7,4,1,4,4
788,1,1,7,3,1,1,4
789,1,1,7,6,1,2,4
791,1,1,7,3,1,2,4
794,1,1,7,3,1,1,4
797,1,1,7,3,1,10,2
798,1,1,7,5,1,99,4
799,1,1,7,3,1,2,4
800,1,1,7,6,1,3,4
801,1,1,7,4,1,6,4
803,1,1,7,4,1,1,4
804,1,1,7,5,1,2,4
810,1,1,7,4,1,2,4
812,1,1,6,1,1,15,4
813,1,1,1,3,1,4,4
814,1,1,7,3,2,4,4
816,1,1,7,2,1,2,4
817,1,1,7,4,1,3,2
818,1,1,7,4,1,2,2
819,1,1,7,3,1,4,2
820,1,2,7,9,1,2,2
820,1,1,2, ,1,7,1
821,1,1,7,4,1,2,2
822,1,1,7,3,1,4,4
823,1,1,1,3,1,3,3
824,1,1,6,1,2,5,1
825,1,1,1,3,2,3,2
826,1,1,7,3,1,3,1
828,1,1,7,3,1,1,4
835,1,1,7,3,1,3,2
837,1,1,1,9,1,15,4
846,1,1,2, ,1,1,4
847,1,1,6,9,2,99,4
848,1,1,7,3,1,2,4
849,1,1,6,9,2,99,4
853,1,1,1,1,1,3,1
854,1,1,1,3,2,2,1
855,1,1,1,9,1,11,4
856,1,1,7,4,1,3,2
857,1,1,1,9,1,3,4
858,1,1,3, ,1,9,4
859,1,1,1,3,1,7,4
860,1,1,3, ,1,1,4
861,1,2,7,5,1,1,4
861,1,1,1,2,1,7,4
862,1,1,7,3,1,1,4
866,1,1,7,4,1,4,4
867,1,1,1,1,1,5,3
869,1,1,1,9,1,5,4
871,1,1,7,6,1,2,1
872,1,1,2, ,1,5,1
873,1,1,1,3,2,6,4
874,1,1,1,3,1,3,2
875,1,1,7,3,1,2,2
876,1,1,1,3,1,6,1
877,1,1,1,4,1,6,2
878,1,1,1,3,1,5,2
879,1,1,1,9,1,2,1
880,1,1,2, ,1,3,2
881,1,1,7,4,1,2,4
882,1,1,2, ,2,99,1
883,1,2,7,2,1,1,1
883,1,1,2, ,1,1,1
884,1,1,7,4,1,3,4
885,1,1,4, ,1,2,4
885,1,2,7,4,1,2,1
886,1,1,7,3,1,1,4
887,1,1,2, ,1,7,1
889,1,1,7,4,1,2,2
891,1,1,7,3,1,2,4
892,1,1,6,3,1,3,4
893,1,1,7,1,1,3,4
894,1,1,7,2,1,2,1
899,1,1,7,4,1,2,4
901,1,1,7,4,1,6,4
903,1,1,6,4,2,5,4
904,1,1,7,5,1,1,4
905,1,1,7,3,1,5,4
906,1,1,7,3,1,10,2
907,1,1,1,2,1,1,4
908,1,1,7,3,1,7,4
909,1,1,7,3,1,5,2
910,1,1,7,3,1,2,4
912,1,1,7,3,1,5,3
913,1,1,7,3,1,1,4
914,1,1,7,1,1,3,4
915,1,1,7,5,1,9,4
916,1,1,7,6,1,5,4
917,1,1,4, ,1,5,4
918,1,1,7,6,1,15,3
919,1,1,7,4,1,3,4
920,1,1,7,3,1,4,4
921,1,1,1,1,1,2,1
923,1,1,7,1,1,1,2
925,1,1,7,9,1,1,4
927,1,1,3, ,1,1,4
930,1,1,3, ,1,4,4
932,1,1,1,1,2,99,4
933,1,1,1,1,1,1,4
934,1,1,1,1,2,99,4
935,1,1,1,2,1,15,2
942,1,1,3, ,1,4,2
944,1,1,3, ,1,8,2
945,1,1,3, ,1,2,2
946,1,1,1,4,1,2,1
947,1,1,3, ,1,1,4
948,1,1,3, ,1,1,4
949,1,1,1,4,1,4,4
951,1,1,3, ,1,4,4
953,1,1,3, ,1,3,4
954,1,1,3, ,1,1,4
955,1,1,3, ,1,6,4
956,1,1,1,3,1,99,4
957,1,1,1,2,1,1,4
960,1,1,3, ,1,5,2
961,1,1,3, ,2,2,4
963,1,1,3, ,2,3,4
966,1,1,3, ,1,3,4
969,1,1,1,3,1,2,1
971,1,1,1,5,1,99,2
973,1,1,3, ,1,1,4
975,1,1,3, ,1,2,2
976,1,1,3, ,1,2,4
977,1,1,3, ,1,1,4
980,1,1,1,2,1,2,4
985,1,1,3, ,1,2,4
991,1,1,3, ,2,2,4
992,1,1,3, ,1,8,4
993,1,1,3, ,1,3,4
994,1,1,3, ,1,5,2
995,1,1,3, ,1,6,4
996,1,1,3, ,1,3,1
997,1,1,3, ,1,3,1
998,1,1,3, ,2,99,4
1000,1,1,3, ,1,6,2
1001,1,1,3, ,1,8,4
1003,1,1,3, ,1,6,2
1009,1,1,3, ,1,4,2
1010,1,1,1,3,1,10,4
1011,1,1,4, ,1,1,1
1012,1,1,3, ,2,2,2
1013,1,1,2, ,2,30,4
1014,1,1,4, ,1,1,4
1018,1,1,3, ,1,3,2
1019,1,1,4, ,1,4,4
1020,1,1,3, ,1,3,1
1021,1,1,4, ,1,2,4
1022,1,1,3, ,1,4,1
1023,1,1,4, ,1,2,4
1025,1,1,4, ,1,5,4
1026,1,1,5,3,1,2,1
1028,1,1,3, ,1,6,4
1029,1,1,3, ,1,4,4
1030,1,1,4, ,1,5,2
1031,1,1,4, ,1,12,2
1032,1,1,4, ,1,1,4
1033,1,1,1,4,1,2,4
1034,1,1,3, ,2,1,4
1035,1,1,5,2,1,9,4
1036,1,1,1,4,1,2,4
1037,1,1,3, ,1,2,4
1038,1,1,3, ,1,2,4
1038,1,2,3, ,1,1,4
1039,1,1,1,1,1,5,4
1041,1,1,2, ,2,99,4
1042,1,1,4, ,1,1,4
1043,1,1,4, ,1,3,2
1044,1,1,2, ,1,5,1
1046,1,1,5,9,2,8,4
1047,1,1,1,3,1,2,4
1050,1,1,1,4,2,4,4
1051,1,1,1,4,1,4,4
1052,1,1,1,9,2,99,2
1053,1,1,4, ,1,5,4
1054,1,1,5,3,1,4,1
1055,1,1,4, ,1,1,4
1058,1,1,3, ,1,3,4
1059,1,1,5,1,1,2,4
1060,1,1,3, ,1,3,4
1061,1,1,3, ,1,2,4
1062,1,1,3, ,1,1,4
1063,1,1,1,3,1,10,2
1066,1,1,3, ,1,4,4
1067,1,1,4, ,1,4,4
1068,1,1,1,4,1,8,1
1069,1,1,1,1,1,3,4
1070,1,1,5,1,1,5,2
1071,1,1,1,2,1,7,2
1074,1,1,5,1,1,2,3
1075,1,1,5,1,2,5,2
1076,1,1,4, ,1,2,4
1079,1,1,3, ,1,1,4
1081,1,1,2, ,1,2,4
1082,1,1,3, ,1,4,4
1083,1,1,1,4,1,10,4
1084,1,1,3, ,1,1,4
1085,1,1,1,3,1,3,4
1086,1,1,4, ,1,2,4
1087,1,1,1,3,1,8,4
1088,1,1,4, ,1,1,4
1089,1,1,1,1,1,6,3
1090,1,1,1,1,1,1,4
1091,1,1,4, ,1,5,4
1092,1,1,3, ,1,3,4
