folio,foliohog,id_panta,panta_tipo,panta_tam,panta_dia,panta_hor,panta_min,panta_uso1,panta_uso2,panta_uso3,panta_uso4,panta_uso9,panta_anio
106,1,1,2,2,7,02,00, , ,3, , ,01
107,1,1,2,3,7,03,00, , ,3, , ,01
107,1,2,4,1,7,03,00, , ,3, , ,09
108,1,2,4,1,2,01,00, , ,3, , ,20
108,1,1,4,1,7,00,30, , ,3, , ,20
109,1,1,3,3,7,03,00, , ,3, , ,03
110,1,1,4,3,7,03,00, , ,3, , ,08
110,1,2,2,3,3,01,30, , ,3, , ,02
111,1,1,1,4,7,04,00,1,2,3, , ,02
111,1,3,3,2,7,03,00, , ,3, , ,01
111,1,2,2,4,1,02,00, , ,3, , ,04
112,1,2,4,3,2,03,30,1, ,3, , ,14
112,1,1,4,4,7,03,30, ,2,3, , ,30
113,1,1,3,3,7,05,00,1,2,3, , ,04
113,1,2,3,3,7,02,00, , ,3, , ,03
114,1,1,2,2,4,01,00, , ,3, , ,02
115,1,1,3,1,2,02,00, , ,3, , ,03
116,1,2,3,3,7,03,00, ,2,3, , ,04
116,1,1,3,2,7,02,00, , ,3, , ,08
117,1,1,2,3,7,02,00, , ,3, , ,02
118,1,1,3,2,7,05,00, ,2,3, , ,04
120,1,1,3,2,7,05,00,1, ,3, , ,03
121,1,1,3,3,7,03,00, , ,3, , ,02
122,1,1,2,4,7,03,00, , ,3, , ,02
123,1,1,2,2,7,02,00, , ,3, , ,03
123,1,2,2,2,7,03,00, , ,3, , ,03
123,1,3,3,2,7,03,00, , ,3, , ,02
123,1,4,3,2,7,05,00, , ,3, , ,02
124,1,1,2,3,7,02,00, ,2,3, , ,03
125,1,1,4,4,7,04,00, ,2,3, , ,15
125,1,2,2,4,7,04,00, ,2,3, , ,06
126,1,2,3,4,7,02,00, , ,3, , ,03
126,1,3,3,4,7,00,30, , ,3, , ,02
126,1,1,4,3,7,01,00, ,2, , , ,15
128,1,2,3,4,7,02,00, , ,3, , ,01
128,1,1,3,2,7,02,00, , ,3, , ,04
129,1,1,3,3,7,05,00, ,2,3, , ,05
129,1,2,3,3,7,03,00, , ,3, , ,03
130,1,1,4,1,7,01,30, , ,3, , ,15
130,1,2,4,2,7,01,30, , ,3, , ,10
131,1,1,2,2,7,03,00, , ,3, , ,03
132,1,1,2,3,7,03,00, , ,3, , ,04
133,1,1,3,2,7,04,00, , ,3, , ,02
134,1,1,4,1,7,05,00,1, ,3, , ,08
134,1,2,4,1,7,05,00,1, ,3, , ,15
135,1,1,2,1,7,06,00,1, ,3, , ,04
135,1,2,2,1,7,02,00, , ,3, , ,03
136,1,1,2,3,2,01,00, ,2, , , ,03
136,1,2,3,3,7,04,00, ,2,3, , ,05
137,1,2,2,2,7,00,30,1, , , , ,02
137,1,3,4,1,7,00,30,1, , , , ,10
137,1,1,4,1,7,02,00, , ,3, , ,17
138,1,1,2,3,7,02,00, , ,3, , ,01
139,1,1,3,2,7,02,00,1, ,3, , ,02
140,1,2,2,2,7,05,00, , ,3, , ,03
140,1,1,4,2,7,05,00,1, ,3, , ,15
141,1,1,3,1,7,03,00, , ,3, , ,03
141,1,2,3,1,7,03,00, , ,3, , ,03
141,1,3,3,1,7,03,00, , ,3, , ,03
142,1,1,3,2,7,01,00, , ,3, , ,08
143,1,1,2,1,7,02,00, ,2,3, , ,04
144,1,1,4,3,4,01,00, , ,3, , ,05
145,1,1,4,3,7,11,00, ,2,3,4, ,03
146,1,1,4,3,7,04,00, ,2,3, , ,08
146,1,2,3,2,7,01,00, , ,3, , ,03
147,1,1,3,3,5,02,00, , ,3, , ,12
148,1,1,2,3,7,01,00,1, , , , ,09
149,1,1,2,2,7,06,00, ,2,3, , ,99
150,1,1,4,2,7,03,00, , ,3, , ,10
151,1,1,3,3,7,03,00, , ,3, , ,05
152,1,1,3,2,7,04,00, ,2,3, , ,08
153,1,1,3,2,7,05,00, ,2,3, , ,05
154,1,1,3,1,7,04,00, , ,3, , ,02
155,1,1,2,2,3,04,00, , ,3, , ,02
156,1,2,3,2,7,05,00, ,2,3, , ,02
156,1,1,3,2,3,03,00, , ,3, , ,05
157,1,2,3,2,7,02,00, , ,3, , ,99
157,1,1,3,1,7,04,00, , ,3, , ,03
158,1,1,2,3,7,03,00, , ,3, , ,02
159,1,1,2,4,7,05,00, ,2,3, , ,05
160,1,1,2,3,7,04,00, ,2,3, , ,03
161,1,1,2,4,7,01,00, , ,3, , ,01
161,1,2,2,5,7,01,00, , ,3, , ,03
162,1,3,4,3,7,01,00, , ,3, , ,09
162,1,1,2,4,7,02,00, , ,3, , ,02
162,1,2,2,3,7,02,00, , ,3, , ,05
163,1,1,2,3,7,04,00, , ,3, , ,03
164,1,1,4,1,7,04,00, ,2,3, , ,08
164,1,2,4,1,7,03,00, ,2,3, , ,08
